Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedThirdCampaign,AcceptedFourthCampaign,AcceptedFifthCampaign,AcceptedFirstCampaign,AcceptedSecondCampaign,Complain,Z_CostContact,Z_Revenue,AcceptedLastCampaign,AcceptedCampaign,Age,Total_Spent,Children,living_with,family_size,is_parent,education2,customer_for
49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,0,73,65,2,single,3,1,grad,4065
67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,0,54,913,1,couple,3,1,postgrad,3941
23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,0,48,81,1,couple,3,1,undergrad,4061
42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,0,51,67,1,single,2,1,grad,3899
48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,1,81,902,0,single,1,0,postgrad,4274
80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,0,44,1395,1,couple,3,1,grad,4187
20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,0,39,53,1,couple,3,1,grad,4235
21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,0,67,22,1,couple,3,1,grad,4313
52247.3,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,0,65,186,0,single,1,0,postgrad,3997
7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,0,49,31,1,couple,3,1,grad,4031
79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,0,48,984,0,single,1,0,grad,3762
7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,1,28,122,0,couple,2,0,undergrad,4358
41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,0,56,55,1,couple,3,1,grad,4162
52247.3,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,0,73,124,3,single,4,1,grad,3940
72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,0,70,1319,2,couple,4,1,postgrad,4359
65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,0,67,507,1,single,2,1,grad,3809
79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,0,60,1693,0,couple,2,0,grad,4448
35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0,47,72,1,single,2,1,grad,4304
82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,1,47,1617,0,single,1,0,grad,3783
66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,0,46,606,2,couple,4,1,grad,4143
82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1,69,1957,0,couple,2,0,grad,4348
70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,1,58,1093,0,single,1,0,grad,4214
27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,0,36,29,1,single,2,1,grad,3823
52247.3,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,0,42,46,1,single,2,1,grad,4138
55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,0,56,518,1,couple,3,1,postgrad,3879
75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1,42,1438,0,single,1,0,grad,4121
66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,0,49,612,2,couple,4,1,grad,4421
61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,0,72,884,1,single,2,1,grad,4257
67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,0,73,606,1,single,2,1,postgrad,4144
70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,0,76,1076,0,couple,2,0,grad,3966
25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,1,53,34,1,couple,3,1,grad,4165
32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0,57,11,2,couple,4,1,grad,3810
88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1,45,1274,1,single,2,1,undergrad,3863
69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,0,66,653,1,couple,3,1,grad,4036
74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,0,54,1562,3,couple,5,1,grad,4208
66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,0,70,1253,0,couple,2,0,grad,4417
52247.3,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,0,51,109,1,couple,3,1,undergrad,4414
65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,0,65,863,1,couple,3,1,grad,4230
60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,1,49,661,2,couple,4,1,postgrad,4211
28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,0,72,65,0,couple,2,0,grad,3821
40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,0,47,13,1,single,2,1,grad,4318
75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1,52,1890,0,couple,2,0,grad,4432
75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,1,48,2209,0,single,1,0,grad,4386
26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,0,48,18,0,couple,2,0,undergrad,4059
56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,1,59,692,0,couple,2,0,grad,4304
29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,0,39,165,1,single,2,1,grad,4430
26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0,55,16,1,couple,3,1,grad,4132
23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,0,51,79,1,couple,3,1,undergrad,4122
38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0,61,318,0,couple,2,0,grad,4175
81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,0,37,778,0,single,1,0,grad,3885
29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,0,64,56,2,couple,4,1,grad,4083
36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,1,54,151,2,couple,4,1,grad,4109
50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,1,67,372,1,single,2,1,grad,3793
79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1,51,1366,0,couple,2,0,grad,3809
54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,0,57,194,1,couple,3,1,grad,3920
52247.3,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,0,67,603,3,couple,5,1,postgrad,4348
52247.3,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0,67,18,2,single,3,1,grad,3794
52247.3,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,0,51,985,0,couple,2,0,grad,3979
42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,0,52,32,1,single,2,1,grad,3859
23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,0,54,43,1,couple,3,1,postgrad,3797
30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,0,41,45,1,couple,3,1,grad,3799
47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,1,64,606,1,single,2,1,grad,4345
51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0,52,63,2,single,3,1,grad,4205
78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,1,73,978,0,couple,2,0,undergrad,3971
50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,0,41,410,0,couple,2,0,postgrad,4135
47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,0,64,72,1,single,2,1,undergrad,4102
34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,0,65,55,1,single,2,1,postgrad,3852
85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,0,45,1169,1,couple,3,1,grad,4196
65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,0,79,1120,0,couple,2,0,postgrad,4169
87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1,65,1097,0,couple,2,0,grad,3813
24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,0,45,29,1,couple,3,1,undergrad,3962
49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,0,60,187,2,couple,4,1,grad,4039
52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,0,55,910,2,couple,4,1,grad,4273
38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,0,46,145,1,single,2,1,grad,4318
89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,0,64,850,0,couple,2,0,grad,4330
77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,0,45,969,1,couple,3,1,grad,4000
68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1,33,1820,0,single,1,0,postgrad,4357
57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,1,61,608,1,couple,3,1,grad,3765
86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,1,33,730,0,single,1,0,grad,4304
43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,0,44,551,1,couple,3,1,postgrad,4325
50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,0,62,114,2,single,3,1,grad,4053
90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1,54,1724,0,couple,2,0,grad,3917
36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,0,46,577,1,couple,3,1,undergrad,4256
30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,0,57,81,2,couple,4,1,undergrad,4114
21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,0,55,33,1,couple,3,1,grad,3988
56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,0,71,660,1,couple,3,1,grad,4135
32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,1,57,80,1,single,2,1,grad,3886
19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,0,39,30,2,couple,4,1,grad,4059
30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,0,48,43,1,single,2,1,grad,4194
101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,1,41,1135,0,single,1,0,grad,4235
71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,0,59,559,0,couple,2,0,undergrad,4257
79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,1,40,1923,0,single,1,0,grad,4195
54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,0,71,90,2,couple,4,1,grad,3782
52247.3,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,0,63,404,1,couple,3,1,postgrad,4114
77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,0,68,661,2,couple,4,1,postgrad,3811
62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,0,72,463,1,couple,3,1,grad,4033
61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,0,66,632,2,single,3,1,grad,4237
73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,0,55,725,0,couple,2,0,grad,3900
52247.3,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,0,61,725,1,couple,3,1,grad,4083
41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,0,60,279,2,couple,4,1,postgrad,4080
62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,1,57,1482,0,couple,2,0,postgrad,4230
9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,0,48,29,1,single,2,1,undergrad,4451
33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,0,65,106,3,couple,5,1,postgrad,4118
35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,1,51,49,2,single,3,1,postgrad,3802
36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0,59,38,2,single,3,1,postgrad,4097
92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,0,32,2077,0,single,1,0,grad,4379
65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,1,48,1053,1,couple,3,1,grad,3988
86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,0,62,1385,0,couple,2,0,grad,4197
68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,0,50,871,1,single,2,1,postgrad,4066
41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,0,36,312,1,couple,3,1,grad,4228
59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,0,48,877,2,couple,4,1,grad,4380
23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,1,49,68,1,couple,3,1,grad,4370
38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,0,43,22,1,couple,3,1,grad,4066
35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,0,51,211,3,couple,5,1,undergrad,4437
49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,0,58,127,0,couple,2,0,grad,3769
59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,0,71,459,2,couple,4,1,grad,3827
65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,1,55,460,1,couple,3,1,grad,3875
46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,0,52,429,1,couple,3,1,undergrad,4323
34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,0,36,89,1,single,2,1,grad,3809
61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,0,72,1021,1,couple,3,1,postgrad,4389
69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,1,75,1381,0,couple,2,0,grad,4256
49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,0,66,306,1,single,2,1,grad,4117
60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,0,46,18,3,single,4,1,grad,4051
55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,0,47,162,1,couple,3,1,grad,4016
80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,0,69,1231,0,single,1,0,grad,4074
30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0,66,13,3,single,4,1,grad,4124
70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,0,79,1706,0,couple,2,0,postgrad,4362
23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,0,40,121,1,couple,3,1,grad,3936
74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,0,49,1293,0,single,1,0,postgrad,4185
157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,0,51,1608,1,couple,3,1,postgrad,3881
43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,0,58,88,3,couple,5,1,grad,3989
62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,1,71,421,0,single,1,0,grad,3984
52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,1,65,259,0,single,1,0,grad,4066
66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,0,36,1117,0,single,1,0,grad,4000
26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,0,67,89,2,couple,4,1,grad,3885
33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,0,59,36,2,couple,4,1,grad,3830
28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,0,42,57,1,couple,3,1,grad,4112
50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,0,54,148,2,couple,4,1,grad,3830
53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0,0,65,93,2,couple,4,1,postgrad,3911
52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0,1,57,119,1,single,2,1,grad,3847
80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,0,49,1835,1,couple,3,1,postgrad,4416
83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1,1,76,1318,0,couple,2,0,postgrad,4321
38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0,54,45,2,couple,4,1,postgrad,3798
38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0,0,65,10,3,couple,5,1,grad,3766
78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,1,73,978,0,couple,2,0,undergrad,3971
51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0,0,48,191,1,couple,3,1,postgrad,3810
16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0,0,36,57,1,couple,3,1,undergrad,3811
66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0,0,78,1033,0,couple,2,0,grad,4035
30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0,0,40,66,1,couple,3,1,grad,3919
28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0,0,63,43,0,couple,2,0,undergrad,3775
25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0,0,41,50,1,couple,3,1,grad,4332
32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0,0,54,39,1,single,2,1,postgrad,3874
61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0,0,58,608,1,couple,3,1,grad,4092
74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0,0,48,1581,0,couple,2,0,grad,4228
45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0,60,68,2,couple,4,1,postgrad,4252
24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,3,11,0,1,46,80,1,couple,3,1,undergrad,4419
66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,0,0,35,1282,0,couple,2,0,postgrad,4169
36640.0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,3,11,0,0,124,65,1,single,2,1,undergrad,4037
38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,0,0,36,91,1,couple,3,1,grad,4156
51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,3,11,0,0,51,315,2,couple,4,1,grad,4257
31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,0,0,47,31,2,couple,4,1,grad,3943
